"REF_DATE","GEO","DGUID","Distance-capacity public transit service area","Location","Gender","Demographic and socio-economic","Sustainable Development Goals (SDGs) 11.2.1 indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635213035","1.1.1.1.58.1","10001450","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635213035","1.1.1.1.58.1","9860635","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639236929","1.1.1.1.58.2","67.8","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639236929","1.1.1.1.58.2","67.3","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635294053","1.1.1.1.59.1","1242320","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635294053","1.1.1.1.59.1","1227570","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639317947","1.1.1.1.59.2","72.0","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639317947","1.1.1.1.59.2","71.7","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635375071","1.1.1.1.60.1","6233935","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635375071","1.1.1.1.60.1","6112630","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639398965","1.1.1.1.60.2","68.8","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639398965","1.1.1.1.60.2","68.0","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631838571","1.2.1.1.1.1","21151210","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631838571","1.2.1.1.1.1","20815840","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635862465","1.2.1.1.1.2","68.2","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635862465","1.2.1.1.1.2","67.6","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631919589","1.2.1.1.2.1","3264145","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631919589","1.2.1.1.2.1","3219705","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635943483","1.2.1.1.2.2","65.3","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635943483","1.2.1.1.2.2","64.9","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632000607","1.2.1.1.3.1","14019460","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632000607","1.2.1.1.3.1","13821720","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636024501","1.2.1.1.3.2","68.8","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636024501","1.2.1.1.3.2","68.3","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632243661","1.2.1.1.6.1","3867605","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632243661","1.2.1.1.6.1","3774415","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636267555","1.2.1.1.6.2","68.4","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636267555","1.2.1.1.6.2","67.4","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635052285","1.2.1.1.56.1","17473330","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635052285","1.2.1.1.56.1","17195320","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639076179","1.2.1.1.56.2","68.4","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639076179","1.2.1.1.56.2","67.8","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635133303","1.2.1.1.57.1","11240800","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635133303","1.2.1.1.57.1","11084755","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639157197","1.2.1.1.57.2","68.3","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639157197","1.2.1.1.57.2","67.8","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635214321","1.2.1.1.58.1","9998810","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635214321","1.2.1.1.58.1","9857555","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639238215","1.2.1.1.58.2","67.8","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639238215","1.2.1.1.58.2","67.3","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635295339","1.2.1.1.59.1","1241990","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635295339","1.2.1.1.59.1","1227200","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639319233","1.2.1.1.59.2","72.0","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639319233","1.2.1.1.59.2","71.7","","","","1"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635376357","1.2.1.1.60.1","6232535","","","","0"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635376357","1.2.1.1.60.1","6110565","","","","0"
"2023","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639400251","1.2.1.1.60.2","68.8","","","","1"
"2024","Canada","2021A000011124","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639400251","1.2.1.1.60.2","68.0","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631839857","1.3.1.1.1.1","23362025","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631839857","1.3.1.1.1.1","22985560","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635863751","1.3.1.1.1.2","75.3","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635863751","1.3.1.1.1.2","74.6","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631920875","1.3.1.1.2.1","3649045","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631920875","1.3.1.1.2.1","3596900","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635944769","1.3.1.1.2.2","73.0","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635944769","1.3.1.1.2.2","72.5","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632001893","1.3.1.1.3.1","15469405","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632001893","1.3.1.1.3.1","15248105","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636025787","1.3.1.1.3.2","75.9","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636025787","1.3.1.1.3.2","75.3","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632244947","1.3.1.1.6.1","4243575","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632244947","1.3.1.1.6.1","4140550","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636268841","1.3.1.1.6.2","75.0","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636268841","1.3.1.1.6.2","73.9","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635053571","1.3.1.1.56.1","19288965","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635053571","1.3.1.1.56.1","18978345","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639077465","1.3.1.1.56.2","75.5","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639077465","1.3.1.1.56.2","74.9","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635134589","1.3.1.1.57.1","12422010","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635134589","1.3.1.1.57.1","12245640","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639158483","1.3.1.1.57.2","75.4","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639158483","1.3.1.1.57.2","74.9","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635215607","1.3.1.1.58.1","11060150","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635215607","1.3.1.1.58.1","10900160","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639239501","1.3.1.1.58.2","75.0","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639239501","1.3.1.1.58.2","74.4","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635296625","1.3.1.1.59.1","1361865","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635296625","1.3.1.1.59.1","1345485","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639320519","1.3.1.1.59.2","79.0","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639320519","1.3.1.1.59.2","78.6","","","","1"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635377643","1.3.1.1.60.1","6866955","","","","0"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635377643","1.3.1.1.60.1","6732705","","","","0"
"2023","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639401537","1.3.1.1.60.2","75.8","","","","1"
"2024","Canada","2021A000011124","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639401537","1.3.1.1.60.2","74.9","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631841143","1.4.1.1.1.1","23357860","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631841143","1.4.1.1.1.1","22980130","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635865037","1.4.1.1.1.2","75.3","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635865037","1.4.1.1.1.2","74.6","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631922161","1.4.1.1.2.1","3648525","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631922161","1.4.1.1.2.1","3596215","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635946055","1.4.1.1.2.2","73.0","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635946055","1.4.1.1.2.2","72.4","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632003179","1.4.1.1.3.1","15466580","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632003179","1.4.1.1.3.1","15244485","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636027073","1.4.1.1.3.2","75.9","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636027073","1.4.1.1.3.2","75.3","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632246233","1.4.1.1.6.1","4242750","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632246233","1.4.1.1.6.1","4139425","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636270127","1.4.1.1.6.2","75.0","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636270127","1.4.1.1.6.2","73.9","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635054857","1.4.1.1.56.1","19285340","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635054857","1.4.1.1.56.1","18973630","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639078751","1.4.1.1.56.2","75.5","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639078751","1.4.1.1.56.2","74.8","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635135875","1.4.1.1.57.1","12419450","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635135875","1.4.1.1.57.1","12242510","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639159769","1.4.1.1.57.2","75.4","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639159769","1.4.1.1.57.2","74.8","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635216893","1.4.1.1.58.1","11057915","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635216893","1.4.1.1.58.1","10897390","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639240787","1.4.1.1.58.2","75.0","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639240787","1.4.1.1.58.2","74.4","","","","1"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635297911","1.4.1.1.59.1","1361535","","","","0"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635297911","1.4.1.1.59.1","1345120","","","","0"
"2023","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639321805","1.4.1.1.59.2","78.9","","","","1"
"2024","Canada","2021A000011124","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639321805","1.4.1.1.59.2","78.6","","","","1"
